,image_number,prediction,probability
8871,test\img_17983.jpg,1,0.7398071
11330,test\img_3901.jpg,1,0.7405348
2464,test\img_12215.jpg,1,0.7440674
314,test\img_10280.jpg,1,0.7452388
6149,test\img_15532.jpg,1,0.747227
931,test\img_10836.jpg,1,0.7473807
2938,test\img_12642.jpg,1,0.75378126
7397,test\img_16656.jpg,1,0.75866383
7302,test\img_16570.jpg,1,0.76013047
5940,test\img_15344.jpg,1,0.7609227
5587,test\img_15026.jpg,1,0.76143205
15984,test\img_8090.jpg,1,0.76512074
7503,test\img_16751.jpg,1,0.7651777
17463,test\img_9421.jpg,1,0.7717511
11164,test\img_3752.jpg,1,0.7750955
14025,test\img_6327.jpg,1,0.77528393
14368,test\img_6636.jpg,1,0.7781462
2813,test\img_1253.jpg,1,0.7798236
2782,test\img_12501.jpg,1,0.78598464
15847,test\img_7968.jpg,1,0.787098
3657,test\img_1329.jpg,1,0.78940296
14450,test\img_671.jpg,1,0.78970724
17364,test\img_9332.jpg,1,0.79204786
11338,test\img_3909.jpg,1,0.7922193
3913,test\img_1352.jpg,1,0.79389864
17259,test\img_9238.jpg,1,0.7954425
8297,test\img_17466.jpg,1,0.7983383
8842,test\img_17957.jpg,1,0.8013736
9359,test\img_2127.jpg,1,0.80241746
2311,test\img_12078.jpg,1,0.8039306
17390,test\img_9356.jpg,1,0.8040726
4350,test\img_13913.jpg,1,0.80553275
13290,test\img_5666.jpg,1,0.80755734
7086,test\img_16376.jpg,1,0.80847424
1086,test\img_10976.jpg,1,0.809612
1797,test\img_11615.jpg,1,0.8097964
3030,test\img_12725.jpg,1,0.8119982
7422,test\img_16679.jpg,1,0.81234604
4070,test\img_13661.jpg,1,0.8137593
10849,test\img_3469.jpg,1,0.8194545
10549,test\img_3199.jpg,1,0.82154375
11017,test\img_362.jpg,1,0.8227124
18028,test\img_9930.jpg,1,0.8227285
10813,test\img_3436.jpg,1,0.82403636
17414,test\img_9378.jpg,1,0.82539284
8549,test\img_17693.jpg,1,0.8289225
1062,test\img_10954.jpg,1,0.828944
9890,test\img_2605.jpg,1,0.8298491
6840,test\img_16154.jpg,1,0.83192056
16149,test\img_8239.jpg,1,0.8353603
7098,test\img_16387.jpg,1,0.84262896
4954,test\img_14457.jpg,1,0.8432083
4967,test\img_14469.jpg,1,0.84327215
2088,test\img_11878.jpg,1,0.845826
148,test\img_10130.jpg,1,0.8463446
12750,test\img_518.jpg,1,0.8471474
6572,test\img_15913.jpg,1,0.8475263
1575,test\img_11415.jpg,1,0.84916997
2667,test\img_12399.jpg,1,0.85097975
2498,test\img_12246.jpg,1,0.85383546
8872,test\img_17984.jpg,1,0.85466516
2806,test\img_12523.jpg,1,0.8558272
4019,test\img_13615.jpg,1,0.85722226
8003,test\img_17200.jpg,1,0.8587967
