,image_number,prediction,probability
2895,test\img_12603.jpg,1,0.5056008
8822,test\img_17939.jpg,1,0.5115053
8742,test\img_17867.jpg,1,0.5149903
16160,test\img_825.jpg,1,0.5270751
10862,test\img_3481.jpg,1,0.53060544
242,test\img_10215.jpg,1,0.5310127
2752,test\img_12475.jpg,1,0.53139275
5756,test\img_15179.jpg,1,0.5322506
971,test\img_10872.jpg,1,0.53602856
4938,test\img_14442.jpg,1,0.54552215
8786,test\img_17906.jpg,1,0.5526899
12886,test\img_5302.jpg,1,0.5549007
2417,test\img_12173.jpg,1,0.55689824
6287,test\img_15657.jpg,1,0.55765086
10057,test\img_2757.jpg,1,0.5595285
9422,test\img_2185.jpg,1,0.5603172
7722,test\img_16949.jpg,1,0.5614136
8080,test\img_17270.jpg,1,0.56412774
12885,test\img_5301.jpg,1,0.5860105
6087,test\img_15477.jpg,1,0.5948731
2862,test\img_12574.jpg,1,0.5949434
11986,test\img_4493.jpg,1,0.5966174
1796,test\img_11614.jpg,1,0.59953374
1500,test\img_11348.jpg,1,0.6008952
17861,test\img_9781.jpg,1,0.6023102
14301,test\img_6577.jpg,1,0.6024115
100,test\img_10088.jpg,1,0.6205288
7815,test\img_17031.jpg,1,0.62805283
11188,test\img_3775.jpg,1,0.6395258
8294,test\img_17463.jpg,1,0.64468354
10023,test\img_2726.jpg,1,0.6472712
13424,test\img_5788.jpg,1,0.64805865
4937,test\img_14441.jpg,1,0.6498112
8503,test\img_17651.jpg,1,0.6559173
14989,test\img_7196.jpg,1,0.6615086
4384,test\img_13944.jpg,1,0.67310864
7714,test\img_16941.jpg,1,0.67490184
1960,test\img_11762.jpg,1,0.6784697
3797,test\img_13415.jpg,1,0.67979807
17480,test\img_9438.jpg,1,0.68667686
6359,test\img_15721.jpg,1,0.69447434
4769,test\img_14290.jpg,1,0.7003735
1040,test\img_10934.jpg,1,0.7170618
15015,test\img_7219.jpg,1,0.71758837
5587,test\img_15026.jpg,1,0.7250761
2420,test\img_12176.jpg,1,0.72609395
5673,test\img_15103.jpg,1,0.73058134
4666,test\img_14198.jpg,1,0.7309213
3259,test\img_12931.jpg,1,0.7438451
3945,test\img_13549.jpg,1,0.746659
2822,test\img_12538.jpg,1,0.751748
7401,test\img_1666.jpg,1,0.7523326
9370,test\img_2138.jpg,1,0.7546844
3620,test\img_13256.jpg,1,0.7576516
7132,test\img_16417.jpg,1,0.7627885
9631,test\img_2373.jpg,1,0.76849055
2539,test\img_12283.jpg,1,0.77077276
15035,test\img_7237.jpg,1,0.77086484
4432,test\img_13988.jpg,1,0.7845446
6083,test\img_15473.jpg,1,0.78889906
2263,test\img_12034.jpg,1,0.7912803
2037,test\img_11831.jpg,1,0.81013983
8293,test\img_17462.jpg,1,0.8204162
14831,test\img_7053.jpg,1,0.8226314
3715,test\img_13341.jpg,1,0.8235032
1552,test\img_11395.jpg,1,0.8270572
241,test\img_10214.jpg,1,0.8325034
1230,test\img_11104.jpg,1,0.8387405
310,test\img_10277.jpg,1,0.8454319
2543,test\img_12287.jpg,1,0.851552
14076,test\img_6374.jpg,1,0.8525703
6337,test\img_15701.jpg,1,0.8570195
10058,test\img_2758.jpg,1,0.8589565
3621,test\img_13257.jpg,1,0.8679206
4199,test\img_13778.jpg,1,0.8758999
1487,test\img_11336.jpg,1,0.8943963
7354,test\img_16617.jpg,1,0.89668095
7600,test\img_16839.jpg,1,0.8974453
11502,test\img_4057.jpg,1,0.91480637
3361,test\img_13022.jpg,1,0.91496485
14975,test\img_7183.jpg,1,0.91507363
1071,test\img_10962.jpg,1,0.91964793
2907,test\img_12614.jpg,1,0.92447084
17998,test\img_9904.jpg,1,0.9271498
1219,test\img_11095.jpg,1,0.93708324
5510,test\img_14958.jpg,1,0.9377516
14792,test\img_7018.jpg,1,0.944878
4367,test\img_13929.jpg,1,0.946657
13,test\img_10009.jpg,1,0.947578
7424,test\img_16680.jpg,1,0.9557748
6909,test\img_16216.jpg,1,0.9577879
12968,test\img_5377.jpg,1,0.9592709
9572,test\img_232.jpg,1,0.96177125
8831,test\img_17947.jpg,1,0.9625646
8270,test\img_17441.jpg,1,0.9637718
2038,test\img_11832.jpg,1,0.9637916
5509,test\img_14957.jpg,1,0.96820116
12733,test\img_5165.jpg,1,0.9710075
2071,test\img_11862.jpg,1,0.97212595
1070,test\img_10961.jpg,1,0.97980493
4043,test\img_13637.jpg,1,0.98033464
10338,test\img_3009.jpg,1,0.9853537
8832,test\img_17948.jpg,1,0.98718226
11633,test\img_4175.jpg,1,0.9890737
11634,test\img_4176.jpg,1,0.9892669
3795,test\img_13413.jpg,1,0.98942447
1506,test\img_11353.jpg,1,0.9897176
11665,test\img_4203.jpg,1,0.9903757
1507,test\img_11354.jpg,1,0.99087286
1978,test\img_11779.jpg,1,0.99134326
10022,test\img_2725.jpg,1,0.99149066
8682,test\img_17812.jpg,1,0.9925007
16184,test\img_8271.jpg,1,0.9933422
2070,test\img_11861.jpg,1,0.99851185
